Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Carbon Emissions(g/km)
2,4,AS6,Z,11.5,8.5,10.1,28,232
2,4,M5,Z,10.5,8.5,9.6,29,221
2,4,M6,Z,11.1,8.4,9.9,29,228
2,4,AS7,Z,9.2,6.6,8,35,184
2,4,AS7,Z,10,7.5,8.9,32,205
1.8,4,AS7,Z,10.9,7.5,9.4,30,216
2,4,AS7,Z,10.1,7.8,9,31,207
3.5,6,AS7,Z,12.1,8.7,10.6,27,244
3.5,6,AS7,Z,12.1,8.6,10.5,27,242
3,6,AS7,Z,11.1,8.4,9.9,29,228
6.2,8,AS7,Z,17.9,12.3,15.4,18,354
2,4,AS7,Z,9.4,6.4,8.1,35,186
2,4,AS7,Z,9.9,7.4,8.8,32,202
2,4,AS7,Z,10.2,7.7,9.1,31,209
3,6,AS7,Z,12.1,8.5,10.5,27,242
4.7,8,AS7,Z,14.5,10.1,12.5,23,288
5.5,8,AS7,Z,15.1,10.8,13.1,22,301
2.1,4,AS7,D,8.6,5.9,7.4,38,200
3.5,6,AS7,Z,11.9,8.2,10.2,28,235
3,6,AS7,Z,12,8.5,10.4,27,239
3.5,6,AS7,Z,12.4,8.8,10.8,26,248
3.5,6,AS7,Z,11.5,8.1,10,28,230
3.5,6,AS7,Z,11.8,8.3,10.2,28,235
4.7,8,AS7,Z,12.9,9.6,11.4,25,262
4.7,8,AS7,Z,13.7,9.2,11.7,24,269
4.7,8,AS7,Z,13.3,8.9,11.4,25,262
5.5,8,AS7,Z,15.3,10.8,13.3,21,306
5.5,8,AS7,Z,15.2,11,13.3,21,306
5.5,8,AS7,Z,19.9,16.1,18.2,16,419
5.5,8,AS7,Z,20,16.6,18.5,15,426
3,6,AS7,D,13.6,10,12,24,324
3,6,AS7,Z,15.2,12.6,14,20,322
4.7,8,AS7,Z,17.5,13.2,15.6,18,359
5.5,8,AS7,Z,18.2,14,16.3,17,375
2,4,AS7,Z,9.8,7.4,8.7,32,200
2,4,AS7,Z,10.5,8.1,9.4,30,216
2.1,4,AS7,D,9.6,7,8.5,33,230
3.5,6,AS7,Z,12.6,9.6,11.2,25,258
3,6,AS7,D,11.8,8.5,10.3,27,278
3,6,AS7,Z,13.3,10.4,12,24,276
4.7,8,AS7,Z,16.3,11.8,14.2,20,327
5.5,8,AS7,Z,17.3,13.5,15.6,18,359
4.7,6,AS7,Z,12.6,8.6,10.8,26,248
4.7,8,AS7,Z,14.4,9.8,12.3,23,283
4.7,8,AS7,Z,14.8,9.8,12.5,23,288
4.7,8,AS7,Z,14.7,9.1,12.2,23,281
6,12,AS7,Z,18.1,11,14.9,19,343
5.5,8,AS7,Z,15.7,10.1,13.2,21,304
5.5,8,AS7,Z,15.7,10.1,13.2,21,304
6,12,AS7,Z,18.5,11.8,15.5,18,357
6,12,AS7,Z,18,11.3,15,19,345
4.7,8,AS7,Z,13.8,9.5,11.9,24,274
5.5,8,AS7,Z,14.7,9.5,12.4,23,285
6,12,AS7,Z,16.7,11.2,14.2,20,327
1.8,4,AS7,Z,10.4,7.2,9,31,207
1.8,4,M6,Z,10.4,7.2,9,31,207
3.5,6,AS7,Z,11.1,8.1,9.8,29,225
5.5,8,AS7,Z,12.4,8.5,10.6,27,244
6.2,8,AM7,Z,18.1,12.6,15.6,18,359
6.2,8,AM7,Z,18.1,12.6,15.6,18,359
1.5,3,AS6,Z,8.5,6.3,7.5,38,172
1.5,3,M6,Z,8.1,5.9,7.1,40,163
1.5,3,AS6,Z,8.5,6.3,7.5,38,172
1.5,3,M6,Z,8.2,5.9,7.2,39,166
1.6,4,AS6,Z,8.6,6.5,7.7,37,177
1.6,4,M6,Z,8.4,6.4,7.5,38,172
1.6,4,AS6,Z,9.4,7.9,8.7,32,200
1.6,4,M6,Z,8.4,6.4,7.5,38,172
1.6,4,AS6,Z,8.5,6.5,7.6,37,175
1.6,4,M6,Z,8,6.4,7.3,39,168
1.6,4,AS6,Z,9.4,7.9,8.7,32,200
1.6,4,M6,Z,8.4,6.4,7.5,38,172
1.6,4,AS6,Z,8.6,6.5,7.7,37,177
1.6,4,M6,Z,8.4,6.4,7.5,38,172
2,4,AS6,Z,9.2,7,8.2,34,189
2,4,M6,Z,10,7,8.6,33,198
2,4,AS6,Z,9.2,7,8.2,34,189
2,4,M6,Z,10,7,8.6,33,198
1.6,4,AS6,Z,9.2,6.8,8.1,35,186
1.6,4,M6,Z,9.1,6.8,8.1,35,186
1.6,4,AS6,Z,10.1,7.8,9,31,207
1.6,4,M6,Z,9.5,7.7,8.7,32,200
1.6,4,AS6,Z,9.2,6.8,8.1,35,186
1.6,4,M6,Z,9.1,6.8,8.1,35,186
1.6,4,AS6,Z,10.1,7.8,9,31,207
1.6,4,M6,Z,9.5,7.7,8.7,32,200
1.6,4,AS6,Z,9.2,6.8,8.1,35,186
1.6,4,M6,Z,9.1,6.8,8.1,35,186
2,4,AS6,Z,9.3,7.3,8.4,34,193
2,4,M6,Z,10.4,7.7,9.2,31,212
1.6,4,AS6,Z,9.2,6.8,8.1,35,186
1.6,4,M6,Z,9.1,6.8,8.1,35,186
1.6,4,AS6,Z,10.1,7.8,9,31,207
1.6,4,M6,Z,9.5,7.7,8.7,32,200
1.6,4,AS6,Z,9.2,6.8,8.1,35,186
1.6,4,M6,Z,9.1,6.8,8.1,35,186
1.6,4,AS6,Z,10.1,7.8,9,31,207
1.6,4,M6,Z,9.5,7.7,8.7,32,200
1.6,4,AS6,Z,9.2,6.8,8.1,35,186
1.6,4,M6,Z,9.1,6.8,8.1,35,186
2,4,AV6,X,9.2,6.9,8.2,34,189
2,4,M5,X,9.6,6.9,8.4,34,193
2.4,4,AV6,X,10.5,8.2,9.5,30,219
2,4,AM6,Z,14.2,10.5,12.5,23,288
2,4,M5,Z,14,10.3,12.3,23,283
2,4,AM6,Z,13.4,9.4,11.6,24,267
2,4,AV6,X,9.6,7.3,8.6,33,198
2,4,M5,X,9.8,7.1,8.6,33,198
1.2,3,AV,X,6.4,5.3,5.9,48,136
1.2,3,M5,X,7,5.5,6.4,44,147
2.4,4,AV6,X,9.5,7.5,8.6,33,198
2.4,4,AV6,X,9.9,8.1,9.1,31,209
3,6,AS6,Z,11.5,8.4,10.1,28,232
2,4,AV6,X,9.3,7.3,8.4,34,193
2,4,M5,X,9.9,7.6,8.8,32,202
2,4,AV6,X,9.6,7.7,8.8,32,202
2.4,4,AV6,X,10.4,8.5,9.6,29,221
3.7,6,AS7,Z,12.6,9.2,11.1,25,255
3.7,6,M6,Z,13.3,9.3,11.5,25,264
3.7,6,AS7,Z,13,9.6,11.5,25,264
3.7,6,M6,Z,13.6,9.7,11.8,24,271
2.5,4,AV,X,8.7,6.2,7.6,37,175
3.5,6,AV,X,10.3,7.4,9,31,207
5.6,8,A5,X,19.2,13.4,16.6,17,382
2.5,4,A5,X,13.7,10.6,12.3,23,283
2.5,4,M5,X,12.2,10.2,11.3,25,260
4,6,A5,X,14.8,10.3,12.7,22,292
4,6,A5,X,15.7,11.3,13.7,21,315
4,6,M6,X,15,11.2,13.3,21,306
3.8,6,AM6,Z,14.3,10.5,12.6,22,290
1.6,4,AV7,X,8.5,7.2,7.9,36,182
1.6,4,M6,X,8.4,6.9,7.7,37,177
1.6,4,AV7,X,8.8,7.5,8.2,34,189
1.6,4,M6,Z,8.9,7.5,8.3,34,191
1.6,4,AV8,Z,9.4,8.1,8.8,32,202
1.6,4,A4,X,8.8,6.6,7.8,36,179
1.6,4,M5,X,8.6,6.6,7.7,37,177
3.5,6,AV7,X,11,8.2,9.8,29,225
3.5,6,AV7,X,11.2,8.3,9.9,29,228
2,4,AV,X,9.7,9,9.4,30,216
3.5,6,AV,X,11.9,8.6,10.4,27,239
3.5,6,AV,X,12.1,8.9,10.7,26,246
3.5,6,AV,X,12.7,9,11,26,253
2.5,4,AV,X,9.1,8.5,8.8,32,202
3.5,6,AV,X,12,8.7,10.5,27,242
2.5,4,AV,X,9.2,7.2,8.3,34,191
2.5,4,AV,X,9.5,7.4,8.5,33,196
5.6,8,A5,X,18.4,13.3,16.1,18,370
5.6,8,A5,X,19.7,14.3,17.2,16,396
1.8,4,AV,X,8,6.1,7.2,39,166
1.8,4,M6,X,8.9,6.6,7.9,36,182
1.6,4,AV,X,7.5,6,6.8,42,156
1.6,4,M5,X,8.6,6.5,7.7,37,177
4,6,A5,X,16,12,14.2,20,327
4,6,M6,X,16,12.3,14.4,20,331
3.4,6,AM7,Z,11.6,8.4,10.1,28,232
3.4,6,M7,Z,12.3,8.6,10.6,27,244
3.4,6,AM7,Z,11.5,8.3,10.1,28,232
3.4,6,M7,Z,12.3,8.7,10.7,26,246
3.4,6,AM7,Z,11.6,8.5,10.2,28,235
3.4,6,M7,Z,12.3,8.7,10.7,26,246
3.4,6,AM7,Z,11.9,8.7,10.5,27,242
3.4,6,M7,Z,12.5,9,10.9,26,251
3.8,6,AM7,Z,12.6,9.2,11.1,25,255
3.8,6,M7,Z,13,9.2,11.3,25,260
3.8,6,AM7,Z,13.1,9.4,11.4,25,262
3.8,6,M7,Z,13.4,9.3,11.6,24,267
3.8,6,AM7,Z,12.2,8.9,10.7,26,246
3.8,6,M7,Z,12.6,8.9,11,26,253
3.8,6,AM7,Z,12.5,9,11,26,253
3.8,6,M7,Z,12.9,9.2,11.2,25,258
3.8,6,AM7,Z,12.6,9,11,26,253
3.8,6,M7,Z,12.9,9,11.2,25,258
3.8,6,AM7,Z,12.6,9.2,11.1,25,255
3.8,6,M7,Z,13.4,9.3,11.6,24,267
3.8,6,AM7,Z,11.9,8.7,10.5,27,242
3.8,6,M7,Z,12.4,8.7,10.7,26,246
3.8,6,AM7,Z,12.2,8.7,10.6,27,244
3.8,6,M7,Z,12.5,8.9,10.9,26,251
3.8,6,AM7,Z,16,11.5,14,20,322
3.4,6,AM7,Z,12.3,8.9,10.8,26,248
3.4,6,M7,Z,12.9,9,11.1,25,255
3.8,6,AM7,Z,12.8,9.3,11.2,25,258
3.8,6,M7,Z,13.1,9.2,11.4,25,262
3.8,6,AM7,Z,13.7,9.6,11.9,24,274
3.8,6,AM7,Z,13.7,9.6,11.9,24,274
3.8,6,AM7,Z,13.7,9.6,11.9,24,274
3.8,6,AM7,Z,13.7,9.6,11.9,24,274
2.7,6,AM7,Z,10.7,7.4,9.2,31,212
2.7,6,M6,Z,11.5,7.9,9.9,29,228
3.4,6,AM7,Z,10.9,7.7,9.5,30,218
3.4,6,M6,Z,12.1,8.9,10.7,26,246
3.4,6,AM7,Z,11.3,7.9,9.8,29,225
3.4,6,M6,Z,11.9,8.6,10.4,27,239
3,6,A8,D,11.8,8.1,10.2,28,277
3.6,6,A8,Z,14.3,9.6,12.2,23,286
4.8,8,A8,Z,16.7,11.2,14.2,20,327
2.7,6,AM7,Z,10.7,7.4,9.2,31,212
2.7,6,M6,Z,11.5,7.9,9.9,29,228
3.4,6,AM7,Z,10.9,7.7,9.5,30,218
3.4,6,M6,Z,12.1,8.9,10.7,26,246
3.4,6,AM7,Z,11.3,7.9,9.8,29,225
3.4,6,M6,Z,11.9,8.6,10.4,27,239
3,6,A7,Z,13.7,10.3,12.2,23,281
3.6,6,A7,Z,14.2,10.1,12.3,23,283
3.6,6,AM7,Z,12.9,8.4,10.9,26,251
3.6,6,AM7,Z,13.1,8.7,11.1,25,255
3,6,AM7,Z,13.4,8.8,11.4,25,262
3,6,AM7,Z,13.7,8.9,11.5,25,264
4.8,8,AM7,Z,15.1,9.7,12.7,22,292
3,6,AM7,Z,13.4,8.8,11.4,25,262
4.8,8,AM7,Z,15.3,9.7,12.8,22,294
4.8,8,AM7,Z,15.4,9.8,12.9,22,297
4.8,8,AM7,Z,15.3,9.7,12.8,22,294
4.8,8,AM7,Z,15.4,9.8,12.9,22,297
3.6,6,A8,X,13.9,9.5,11.9,24,274
3.6,6,A8,X,13.9,9.5,11.9,24,274
3.6,6,A8,E,19.4,13.6,16.8,17,269
3.6,6,A8,X,12.9,9.3,11.3,25,260
5.7,8,A6,X,17.1,12,14.8,19,340
5.7,8,A8,X,15.7,10.9,13.6,21,313
3,6,A8,D,11.5,8.4,10.1,28,273
3,6,A8,D,11.3,8,9.8,29,265
3.6,6,A8,X,14.6,10.1,12.6,22,290
3.6,6,A8,X,14.6,10.1,12.6,22,290
3.6,6,A8,E,20.5,14.5,17.8,16,285
5.7,8,A6,X,17.7,12.7,15.4,18,354
5.7,8,A8,X,16.2,11.5,14.1,20,324
3,6,A8,D,12.1,8.8,10.6,27,286
3.6,6,A6,X,13.3,9.1,11.4,25,262
3.6,6,A6,E,18.6,12.7,15.9,18,254
2.4,4,A9,X,11.2,8.1,9.8,29,225
6.6,12,AS8,Z,19.2,12.4,16.1,18,370
6.6,12,AS8,Z,19.2,12.4,16.1,18,370
6.7,12,AS8,Z,20.9,12.7,17.2,16,396
6.7,12,AS8,Z,20.7,12.9,17.2,16,396
6.7,12,AS8,Z,20.9,12.7,17.2,16,396
6.7,12,AS8,Z,20.7,12.9,17.2,16,396
6.6,12,AS8,Z,18.7,11.8,15.6,18,359
2,4,AS6,Z,9.6,7,8.4,34,193
2,4,M6,Z,10.9,7.9,9.6,29,221
1.3,4,AV,X,6.5,6.3,6.4,44,147
2.5,4,AS6,X,10.2,7.6,9,31,207
2.5,4,M6,X,10.2,7.7,9,31,207
2.4,4,AS4,X,10.9,8.5,9.8,29,225
2.4,4,M5,X,10.8,8.5,9.8,29,225
1,3,AM5,Z,6.8,6.2,6.5,43,150
1,3,AM5,Z,6.8,6.2,6.5,43,150
2,4,AS6,Z,9.6,7,8.4,34,193
2,4,M6,Z,10.9,7.9,9.6,29,221
2,4,AV8,Z,10.2,8.5,9.4,30,216
2.5,4,AV6,X,9.6,7.5,8.7,32,200
2.5,4,M6,X,10.6,8.4,9.6,29,221
2,4,AV6,X,8.5,6.4,7.6,37,175
2,4,M5,X,9.5,7,8.4,34,193
2,4,AV6,X,8.5,6.4,7.6,37,175
2,4,M5,X,9.5,7,8.4,34,193
2.5,4,AV6,X,9,6.5,7.9,36,182
2.5,4,M6,X,10.7,7.8,9.4,30,216
3.6,6,AV6,X,11.9,8.2,10.2,28,235
2.5,4,AV6,X,9.3,7.1,8.3,34,191
2.5,4,M6,X,11,8.2,9.7,29,223
3.6,6,AV6,X,12,8.6,10.5,27,242
2,4,AV8,Z,12.4,9.4,11.1,25,255
2,4,M6,Z,11.1,8.3,9.8,29,225
2.5,4,M6,Z,13.8,10.2,12.2,23,281
2,4,AV6,X,9.1,7,8.1,35,186
2,4,M5,X,10.2,7.7,9.1,31,209
2,4,AV6,X,7.9,6.9,7.5,38,173
4,6,AS5,X,14.2,11.1,12.8,22,294
4,6,AS5,X,14.2,11.1,12.8,22,294
3.5,6,AS6,X,11.3,7.5,9.6,29,221
2.5,4,AS6,X,9.7,6.9,8.4,34,193
3.5,6,AS6,X,11,7.7,9.5,30,218
2.5,4,AV,X,5.5,6,5.7,50,131
2.5,4,AV,X,5.7,6.1,5.9,48,136
1.8,4,A4,X,8.6,6.5,7.6,37,175
1.8,4,AV7,X,7.9,6.1,7.1,40,163
1.8,4,AV,X,8.2,6.2,7.3,39,168
1.8,4,M6,X,8.3,6.2,7.4,38,170
1.8,4,AV,X,7.7,5.6,6.8,42,156
1.8,4,AV,X,7.7,6,6.9,41,159
2.7,4,AS6,X,11.7,9.5,10.7,26,246
3.5,6,AS6,X,12.5,9.3,11.1,25,255
3.5,6,AS6,X,13,9.8,11.6,24,267
3.5,6,AV6,X,8.6,8.5,8.5,33,196
3.5,6,AV6,X,8.4,8.3,8.4,34,193
1.8,4,AV,X,4.6,4.9,4.7,60,108
1.5,4,AV,X,4.5,5.1,4.8,59,110
1.8,4,AV,X,5.4,5.8,5.6,50,129
2.5,4,AS6,X,10,7.6,8.9,32,205
2.5,4,AS6,X,10.5,8.2,9.5,30,218
2.5,4,AS6,X,10,7.6,8.9,32,205
2.5,4,AS6,X,10.7,8.3,9.6,29,221
5.7,8,AS6,X,18.8,14,16.6,17,382
3.5,6,AS6,X,13,9.5,11.4,25,262
3.5,6,AS6,X,14.4,10.2,12.5,23,288
2.7,4,A4,X,12.2,9.9,11.2,25,258
2.7,4,M5,X,11.3,9.5,10.5,27,242
4,6,M6,X,14.5,11.3,13.1,22,301
2.7,4,A4,X,13.1,11.3,12.3,23,283
2.7,4,M5,X,12.9,11.5,12.3,23,283
4,6,A5,X,14.8,11.6,13.4,21,308
4,6,M6,X,15.3,12.3,14,20,322
4.6,8,AS6,X,15.9,12.3,14.3,20,329
5.7,8,AS6,X,17.2,12.8,15.2,19,350
4.6,8,AS6,X,16.9,12.8,15.1,19,347
5.7,8,AS6,X,18.5,14.2,16.6,17,382
2.7,4,AS6,X,11.6,9,10.4,27,239
3.5,6,AS6,X,12.5,9,10.9,26,251
2.7,4,AS6,X,11.6,9.2,10.5,27,242
3.5,6,AS6,X,12.8,9.3,11.3,25,260
1.5,4,A4,X,7.8,6.6,7.3,39,168
1.5,4,M5,X,7.7,6.3,7.1,40,163
1.8,4,AS6,X,9.6,7.2,8.5,33,196
1.8,4,M5,X,9.9,7.2,8.7,32,200
2,4,AM6,Z,10,7.9,9.1,31,209
2,4,M6,Z,10.4,7.7,9.2,31,212
2,4,AM6,D,7.6,5.7,6.9,41,183
2,4,M6,D,7.6,5.7,6.9,41,184
1.8,4,AS6,X,9.8,7.3,8.7,32,200
2,4,AM6,Z,10.3,8.2,9.4,30,216
2,4,M6,Z,10.4,7.7,9.2,31,212
2,4,AM6,Z,10.7,7.7,9.3,30,214
2,4,M6,Z,11.4,7.4,9.6,29,221
3.6,6,AS6,Z,13.9,9.3,11.8,24,271
2,4,AM6,Z,10.8,7.8,9.5,30,219
1.8,4,AS6,X,9.3,6.5,8.1,35,186
1.8,4,M5,X,9.3,6.4,8,35,184
2,4,AM6,D,7.6,5.5,6.5,43,177
2,4,M6,D,7.8,5.2,6.5,43,178
2,4,AM6,Z,9.5,7.2,8.5,33,196
2,4,M6,Z,9.4,6.9,8.3,34,191
1.8,4,AS6,X,9.4,6.8,8.2,34,193
1.8,4,M5,X,9.5,6.6,8.2,34,189
2,4,AM6,D,7.6,5.6,6.7,42,180
2,4,M6,D,7.6,5.5,6.7,42,179
1.8,4,AS6,X,9.3,6.3,7.9,36,182
1.8,4,M5,X,9.3,6.3,8,35,184
2,4,AS6,X,10.4,7,8.9,32,205
2,4,M5,X,9.5,6.9,8.4,34,193
2,4,AM6,D,7.6,5.2,6.5,43,175
2,4,M6,D,7.6,5.1,6.5,43,176
2,4,AM6,Z,10,7.3,8.8,32,202
2,4,M6,Z,10.3,7.2,8.9,32,205
1.4,4,AM7,Z,5.6,4.9,5.3,53,122
1.8,4,AS6,X,9.7,6.6,8.3,34,191
1.8,4,M5,X,9.8,6.7,8.4,34,193
2,4,AM6,D,7.8,5.6,6.9,41,185
2,4,M6,D,7.8,5.3,6.7,42,182
3.6,6,AM6,Z,11.9,8.5,10.4,27,239
2,4,AS6,Z,11.5,9.3,10.5,27,242
2,4,M6,Z,13,9,11.2,25,258
2,4,AS6,Z,11.7,9.4,10.7,26,246
3.6,6,AS8,Z,14.1,10.4,12.4,23,292
3,6,AS8,D,11.8,8.1,10.2,28,277
3,6,AS6,X,12.8,8.9,11,26,253
2,4,AS8,X,9.8,6.6,8.4,34,193
2.5,5,AS6,X,11.6,8.2,10.1,28,232
2,4,AS8,Z,10.1,7.3,8.9,32,205
3,6,AS6,X,12.9,9,11.2,25,258
2,4,AS8,X,9.8,6.6,8.4,34,193
3,6,AS6,X,12.9,9,11.2,25,258
2,4,AS8,X,9.8,7.6,8.8,32,202
2.5,5,AS6,X,11.8,8.5,10.3,27,237
3,6,AS6,X,12.8,8.9,11,26,253
2,4,AS8,X,9.8,6.6,8.4,34,193
2.5,5,AS6,X,11.6,8.2,10.1,28,232
3,6,AS6,X,12.9,9,11.2,25,258
3.2,6,AS6,X,13.1,9.5,11.5,25,264
2,4,AS8,X,9.8,7.6,8.8,32,202
2.5,5,AS6,X,13,9.4,11.4,25,262
2,4,AS8,Z,10.7,7.8,9.4,30,216
3,6,AS6,X,13.6,9.9,11.9,24,274
3.2,6,AS6,X,13.1,9.1,11.3,25,260
2,4,AS8,X,9.8,7.6,8.8,32,202
3,6,AS6,X,13.6,9.9,11.9,24,274
2.4,4,AM8,Z,9.3,6.6,8.1,35,189
3.5,6,AS9,Z,12.7,9.1,11.1,25,254
3.5,6,AS9,Z,12.2,9.1,10.7,26,251
3.5,6,AS6,Z,12.4,8.6,10.7,26,249
3.5,6,AS6,Z,11.9,7.7,10,28,235
3.5,6,AM7,Z,8,7.5,7.7,37,180
2.4,4,AM8,Z,9.6,6.6,8.3,34,196
3.5,6,AS9,Z,11.2,7.5,9.6,29,226
1.8,4,AM6,Z,9.7,6.9,8.4,34,197
5.9,12,A6,Z,18,12.6,15.6,18,365
6,12,A8,Z,16.8,10.9,14.2,20,332
6,12,A8,Z,17.6,11.4,14.8,19,346
4.7,8,AM7,Z,17.4,11.3,14.7,19,343
4.7,8,M6,Z,18.1,12.3,15.5,18,362
4.7,8,AM7,Z,17.4,11.3,14.7,19,343
4.7,8,M6,Z,18.1,12.3,15.5,18,362
4.7,8,AM7,Z,17.4,11.3,14.7,19,343
4.7,8,M6,Z,18.1,12.3,15.5,18,362
6,12,AM7,Z,19.5,12.8,16.5,17,390
1.8,4,AM6,X,10,7.1,8.7,32,204
2,4,AM6,X,9.8,7.2,8.6,33,201
2,4,AM6,X,10.1,7.5,8.9,32,208
2,4,AV8,Z,9.9,7.6,8.9,32,212
2,4,AS8,Z,11,7.8,9.6,29,224
2,4,M6,Z,10.6,7.3,9.1,31,214
2,4,AS8,Z,11.2,8.4,9.9,29,232
2,4,AS8,Z,11,7.8,9.6,29,224
2,4,M6,Z,10.6,7.3,9.1,31,214
2,4,AS8,Z,11.3,8,9.8,29,230
2,4,AS8,Z,10.8,7.3,9.2,31,211
3,6,AS8,Z,11.6,7.9,9.9,29,232
3,6,AS8,D,9.4,6.2,7.8,36,213
3,6,AS8,Z,11.6,7.9,9.9,29,232
3,6,AS8,D,9.4,6.2,7.8,36,213
3,6,AS8,Z,12.6,8,10.5,27,247
4,8,AS8,Z,12.9,8,10.7,26,249
3,6,AS8,D,9.8,6.5,8.4,34,224
4,8,AS8,Z,13.1,8.3,10.9,26,255
6.3,12,AS8,Z,17.8,10.8,14.6,19,344
2,4,AS6,Z,12,8.2,10.3,27,242
2,4,AS6,Z,11.9,8.4,10.3,27,240
2,4,AS8,Z,12,8.5,10.4,27,244
3,6,AS8,Z,13.2,9.2,11.4,25,267
3,6,AS8,D,10.2,7.8,9,31,244
2,4,AS8,Z,9.8,7.9,8.9,32,209
4,8,AS8,Z,16.6,9.4,13.3,21,313
2,4,AM6,Z,10.1,7.7,9,31,211
3,6,AM7,Z,13,8.5,11,26,257
3,6,M6,Z,13.8,9,11.7,24,273
3,6,AM7,Z,13,8.5,11,26,257
3,6,M6,Z,13.8,9,11.7,24,273
3,6,AM7,Z,13.3,9.1,11.4,25,266
4,8,AM7,Z,13.3,8.8,11.3,25,263
4,8,AM7,Z,13.4,8.8,11.4,25,265
4,8,AS8,Z,15.7,9.4,12.8,22,300
3,6,AS8,Z,14.1,9.9,12.2,23,285
2,4,AM6,X,10.1,7.8,9.1,31,209
2,4,AM6,X,10.1,7.8,9.1,31,209
2,4,AM6,Z,10.3,8.6,9.5,30,222
4,8,AS8,Z,16.1,9.4,13.1,22,307
6,12,AS8,Z,18.9,11.2,15.4,18,360
4,8,AS8,Z,17.7,10.3,14.4,20,337
6,12,AS8,Z,19.6,11.7,16,18,375
4,8,AS8,Z,17.7,10,14.2,20,334
6,12,AS8,Z,20.3,11.9,16.5,17,388
6.8,8,AS8,Z,21,13.1,17.5,16,408
2,4,AS8,Z,9.9,6.5,8.4,34,197
2,4,M6,Z,10.7,7,9,31,211
2,4,AS8,Z,10.4,6.8,8.8,32,207
2,4,AS8,Z,10.5,6.9,8.9,32,209
2,4,AS8,Z,9.9,6.5,8.4,34,197
2,4,M6,Z,10.7,7,9,31,211
2,4,AS8,Z,10.4,6.8,8.8,32,207
2,4,AS8,D,7.7,5.7,6.8,42,183
2,4,AS8,D,7.7,5.7,6.8,42,183
2,4,AS8,Z,10.5,6.9,8.9,32,209
2,4,AS8,Z,10.5,6.9,8.9,32,209
2,4,AS8,Z,10.5,6.9,8.9,32,209
3,6,AS8,Z,12,7.9,10.2,28,238
3,6,AS8,Z,10.9,7.2,9.3,30,217
3,6,M6,Z,11.6,7.8,9.9,29,231
3,6,AS8,Z,10.9,7.3,9.3,30,216
3,6,M6,Z,11.9,8.3,10.3,27,241
2,4,AS8,Z,10.8,6.7,8.9,32,211
2,4,AS8,Z,9.9,6.5,8.4,34,197
2,4,M6,Z,10.7,7,9,31,211
2,4,AS8,Z,10.8,6.7,8.9,32,211
2,4,M6,Z,10.9,6.8,9,31,210
2,4,AS8,Z,11.3,7.1,9.4,30,221
2,4,AS8,Z,10.5,6.9,8.9,32,209
2,4,AS8,Z,10.5,6.9,8.9,32,209
3,6,AS8,Z,11.8,7.6,9.9,29,232
3,6,AS8,Z,11.6,7.7,9.9,29,232
3,6,M6,Z,12.1,8.4,10.5,27,246
3,6,AS8,Z,11.9,8.1,10.2,28,238
3,6,AS8,Z,12,7.9,10.2,28,238
3,6,M6,Z,12.3,8.4,10.5,27,247
3,6,AS8,Z,12,7.9,10.2,28,238
2,4,AS8,Z,10.5,6.9,8.9,32,209
3,6,AS8,D,9.2,6.3,7.9,36,212
3,6,AS8,Z,11.9,8.1,10.2,28,238
3,6,AS8,Z,13,9.1,11.2,25,263
4.4,8,AS8,Z,14.4,9.6,12.3,23,288
4.4,8,AS8,Z,14.3,9.3,12.1,23,283
3,6,AS8,Z,11.9,8.1,10.2,28,238
3,6,AS8,Z,11.9,8.1,10.2,28,238
4.4,8,AS8,Z,14.3,9.3,12.1,23,283
4.4,8,AS8,Z,14.4,9.6,12.3,23,288
4.4,8,AS8,Z,14.3,9.3,12.1,23,283
4.4,8,AS8,Z,14.3,9.3,12.1,23,283
4.4,8,AS8,Z,14.3,9.3,12.1,23,283
3,6,AS8,Z,10.6,7.9,9.4,30,219
4.4,8,AS8,Z,14.3,9.3,12.1,23,283
3,6,AM7,Z,11.8,8.8,10.4,27,244
3,6,M6,Z,12.7,9.2,11.1,25,260
3,6,AS8,Z,11.6,7.7,9.9,29,232
3,6,M6,Z,11.9,8.6,10.4,27,245
3,6,AS8,Z,11.6,7.7,9.9,29,232
3,6,M6,Z,12.1,8.4,10.5,27,246
3,6,AS8,Z,12,7.9,10.2,28,238
3,6,AS8,Z,12,7.9,10.2,28,238
3,6,AM7,Z,14.1,9.7,12.1,23,284
3,6,M6,Z,13.7,9,11.6,24,271
3,6,AM7,Z,14.2,9.6,12.1,23,282
3,6,M6,Z,14.1,9,11.8,24,278
3,6,AM7,Z,14.1,9.7,12.1,23,284
3,6,M6,Z,13.7,9,11.6,24,271
4.4,8,AM7,Z,17.3,11.5,14.7,19,344
4.4,8,M6,Z,16.1,10.9,13.7,21,321
4.4,8,AM7,Z,17.3,11.5,14.7,19,344
4.4,8,M6,Z,16.1,10.9,13.7,21,321
4.4,8,AM7,Z,17.3,11.5,14.7,19,344
4.4,8,M6,Z,16.1,10.9,13.7,21,321
4.4,8,AM7,Z,17.3,11.5,14.7,19,344
4.4,8,M6,Z,16.1,10.9,13.7,21,321
2,4,AS8,Z,10.7,7.4,9.2,31,215
2,4,AS8,D,8.6,6.9,7.9,36,211
2,4,AS8,Z,11.1,8.4,9.9,29,231
